id,match_id,player_id,pts,rank,winner,sets,1,2,3,4,5,avg_odds,max_odds,total_pts,service_pts,return_pts,aces,bp_saved,bp_faced,first_serve_rtn_won,second_serve_rtn_won,first_serve_in,dbl_faults,first_serve_per
1,m_2019_A_0,atp_104731,4810,6,TRUE,3,6,5,6,6,,1.06,1.08,124,73,51,14,5,7,29,22,71,5,0.645454545
2,m_2019_A_1,atp_105932,1820,20,TRUE,3,6,4,7,6,,1.23,1.3,142,92,50,11,10,15,17,33,90,9,0.620689655
3,m_2019_A_2,atp_105430,585,98,TRUE,3,3,6,6,6,,2.14,2.22,132,73,59,10,8,13,27,32,90,1,0.72
4,m_2019_A_3,atp_105882,401,137,TRUE,3,6,6,6,6,,1.44,1.5,127,82,45,23,5,6,16,29,63,3,0.543103448
5,m_2019_A_4,atp_104269,1410,28,TRUE,3,7,6,6,,,1.47,1.5,110,63,47,21,1,2,29,18,58,6,0.666666667
6,m_2019_A_5,atp_104655,616,94,TRUE,3,6,7,6,,,3.11,3.51,103,54,49,5,3,5,23,26,46,0,0.575
7,m_2019_A_7,atp_126774,2095,15,TRUE,3,6,6,6,7,,1.4,1.45,135,96,39,15,2,2,16,23,88,4,0.6875
8,m_2019_A_8,atp_105777,1790,21,TRUE,3,4,6,6,6,,1.06,1.08,128,77,51,18,3,4,22,29,69,8,0.616071429
9,m_2019_A_9,atp_126207,1080,39,TRUE,3,7,6,6,,,1.3,1.36,99,64,35,7,4,6,21,14,59,3,0.655555556
10,m_2019_A_10,atp_104745,7480,2,TRUE,3,6,6,7,,,1.04,1.06,107,56,51,6,1,3,22,29,54,2,0.666666667
11,m_2019_A_11,atp_105341,573,102,TRUE,3,6,7,2,6,,2.04,2.12,133,84,49,3,6,10,25,24,99,3,0.733333333
12,m_2019_A_12,atp_124187,593,97,TRUE,3,7,7,6,7,,2.75,2.96,142,116,26,40,1,2,14,12,87,6,0.57615894
13,m_2019_A_13,atp_106043,1925,16,TRUE,3,6,6,4,6,,1.13,1.17,109,64,45,9,2,3,26,19,55,2,0.647058824
14,m_2019_A_14,atp_105554,266,189,TRUE,3,7,6,7,,,1.33,1.36,108,71,37,9,2,2,10,27,62,2,0.626262626
15,m_2019_A_15,atp_106045,818,62,TRUE,3,5,1,6,6,6,1.27,1.33,141,93,48,19,14,17,24,24,87,11,0.612676056
16,m_2019_A_16,atp_111575,2835,11,TRUE,3,3,6,6,6,,1.1,1.13,120,67,53,15,1,3,22,31,59,4,0.595959596
17,m_2019_A_17,atp_200282,1353,29,TRUE,3,6,7,6,,,1.05,1.07,97,62,35,5,1,2,18,17,60,2,0.674157303
18,m_2019_A_18,atp_104678,252,200,TRUE,3,6,1,2,6,6,1.34,1.4,116,79,37,12,2,6,21,16,78,0,0.614173228
19,m_2019_A_19,atp_111456,692,81,TRUE,3,6,6,2,6,,3.46,3.75,124,74,50,8,7,11,20,30,63,4,0.552631579
20,m_2019_A_20,atp_105967,319,166,TRUE,3,6,7,4,6,,1.81,1.91,140,90,50,20,5,9,26,24,95,2,0.698529412
21,m_2019_A_21,atp_104607,865,57,TRUE,3,6,6,7,,,1.42,1.47,94,58,36,12,1,1,18,18,49,1,0.653333333
22,m_2019_A_22,atp_111442,740,72,TRUE,3,6,7,6,,,1.31,1.36,98,64,34,9,0,0,16,18,60,1,0.740740741
23,m_2019_A_24,atp_104312,1170,35,TRUE,3,6,4,6,6,,1.84,1.9,111,78,33,12,5,6,10,23,62,5,0.574074074
24,m_2019_A_25,atp_104792,1195,33,TRUE,3,6,6,6,,,1.54,1.58,93,51,42,10,4,5,25,17,45,3,0.6
25,m_2019_A_26,atp_106415,758,69,TRUE,3,6,7,4,6,,1.77,1.87,157,101,56,10,19,22,19,37,109,2,0.698717949
26,m_2019_A_27,atp_105357,1108,37,TRUE,3,6,3,7,6,,1.24,1.27,127,80,47,11,8,11,26,21,80,3,0.695652174
27,m_2019_A_28,atp_126203,964,50,TRUE,3,6,7,6,,,2,2.09,117,73,44,15,5,6,21,23,66,1,0.647058824
28,m_2019_A_29,atp_105138,1605,24,TRUE,3,6,6,6,6,6,1.21,1.26,164,113,51,7,4,5,19,32,107,0,0.727891156
29,m_2019_A_30,atp_105227,4160,7,TRUE,3,6,6,7,,,1.25,1.3,110,68,42,24,5,6,26,16,63,2,0.677419355
30,m_2019_A_31,atp_103819,6420,3,TRUE,3,6,6,6,,,1.02,1.04,100,62,38,14,0,0,24,14,46,2,0.56097561
31,m_2019_A_32,atp_104926,2315,13,TRUE,2,7,7,3,,,1.45,1.49,107,69,38,12,8,10,22,16,68,3,0.666666667
32,m_2019_A_33,atp_125802,658,84,TRUE,2,4,7,6,4,,1.42,1.48,138,74,64,8,10,13,25,39,70,12,0.588235294
33,m_2019_A_34,atp_104919,920,53,TRUE,3,7,7,4,6,,1.81,1.89,141,99,42,19,1,2,18,24,80,5,0.62992126
34,m_2019_A_35,atp_105453,3750,9,TRUE,2,3,6,6,6,3,1.02,1.03,132,73,59,6,6,8,23,36,73,3,0.669724771
35,m_2019_A_38,atp_105992,660,83,TRUE,3,6,7,6,,,1.59,1.63,93,56,37,20,0,0,18,19,42,0,0.636363636
